method,mean_loss,final_abs_theta,max_abs_action
learned_model_mpc,0.8060019811082291,1.249111389532736,20.0
fixed_linear,0.014230107262388944,0.0005460150497942351,6.184642989740418
fixed_nonlinear,0.014245835811556733,0.000527434480771749,6.186183121852005
