policy,noise_type,noise_level,seed,mean_loss,final_abs_theta,final_abs_x,max_abs_action,success_final_theta_lt_0p25
linear_near,observation,0.0,0,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,1,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,2,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,3,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,4,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,5,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,6,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,7,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,8,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,9,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,10,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,11,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,12,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,13,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,14,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,15,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,16,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,17,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,18,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,19,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,20,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,21,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,22,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,23,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,24,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,25,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,26,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,27,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
