restart,kind,loss,success,n_iter,p,message
1,nonlinear,0.07224294703332393,False,150,"[-0.28819997  0.09228212 12.05603912  2.8775227   0.04877468 -0.02182498
 -0.13625583 -0.27832428 -0.12967518 -0.08236972]",STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
0,nonlinear,0.6895560761247845,True,97,"[ 0.00079332  0.01694615  0.03265456  0.0715859   0.01045029 -0.00814881
  0.01767923 -0.00236702 -0.00579941 -0.00249126]",CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,nonlinear,0.9638903164115762,False,7,"[-2.48051646 -3.82237502  2.28318004 -2.46753067 -5.23531948  4.10746012
 -1.52446014 -4.74167708  2.80887955  0.97910279]",ABNORMAL_TERMINATION_IN_LNSRCH
3,nonlinear,0.9703671908178082,False,0,"[-2.78261259 -2.65435617 -2.86204163  7.04242983 -4.20568815 -3.5829442
  2.65869192  5.08935303  0.27693004 -5.02913615]",ABNORMAL_TERMINATION_IN_LNSRCH
6,nonlinear,0.9859408896440707,True,5,"[-0.23392832  0.42831544  5.2334537   5.39671163 -2.0549478   0.62371191
 -1.54193932  0.59202929  6.4520483  -0.33433063]",CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,nonlinear,0.9985533264665961,False,2,"[ 7.22594215 -3.39317525  3.36644044 -3.65245802  4.88178384  0.82618476
  2.11875429  2.30650593 -5.04154849 -2.91655526]",ABNORMAL_TERMINATION_IN_LNSRCH
5,nonlinear,0.9994700776955388,True,4,"[-1.4357501   1.42540672 -8.27497972  1.80970734 -1.21327382 -1.38551891
  1.56404309  0.27004837  3.50886242 -2.98494378]",CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,nonlinear,0.9994794524662055,False,1,"[ 5.38672927 -3.6360527   0.85743248 -2.92006181  0.75575042  0.39356945
 -0.01067371 -0.46190253  2.61054777  6.17062201]",ABNORMAL_TERMINATION_IN_LNSRCH
