restart,kind,loss,success,n_iter,p,message
0,linear,0.8004574993070372,False,5,[-0.01871748  0.01727311  0.04378704  0.26929096],ABNORMAL_TERMINATION_IN_LNSRCH
7,linear,0.9298627353650645,False,10,[ -2.70624446 -15.30017436 -18.08906472   7.08728246],ABNORMAL_TERMINATION_IN_LNSRCH
6,linear,0.934129906154832,False,150,[ 3.36686498  8.37761402  4.00974834 -2.54085362],STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
5,linear,0.9351632560037306,False,7,[ 4.91308383 -1.24271311 -3.17406079  1.76639998],ABNORMAL_TERMINATION_IN_LNSRCH
8,linear,0.965080628325932,False,28,[ 4.25168718  9.30302076 12.67448862 -1.13754057],ABNORMAL_TERMINATION_IN_LNSRCH
3,linear,0.9677350188753432,False,44,[-43.48626856  20.85547736  45.         -30.01854947],ABNORMAL_TERMINATION_IN_LNSRCH
1,linear,0.9761006190206882,False,0,[ 0.  0. 10.  2.],ABNORMAL_TERMINATION_IN_LNSRCH
2,linear,0.9947330109709857,False,0,[-1. -2. 18.  5.],ABNORMAL_TERMINATION_IN_LNSRCH
4,linear,0.995582496540584,False,0,[-6.18697831 -1.39013687  0.51533917  7.06892119],ABNORMAL_TERMINATION_IN_LNSRCH
