time,x,x_dot,theta_wrapped,theta_dot,action,effective_force,point_loss,mpc_objective,mpc_success
0.1,-0.0021510164140382234,-0.04472839696816857,0.23696026131877845,0.7486026808485111,0.4626990417274368,0.46261650987632663,0.15635917785608766,0.024042345023848524,False
0.2,0.003436532643807395,0.14577111074126806,0.3214917769414791,0.9984159633540837,2.1885990861570073,2.1799046339779276,0.2689285818395495,0.03310981405723444,False
0.30000000000000004,0.045820476836981254,0.6831098585431055,0.3941262560773664,0.5265875883639609,4.8922153083769695,4.796921110535613,0.36766081953259944,0.06732761895510646,False
0.4,0.13671209135158205,1.1215086854860221,0.4444691454608063,0.5194068941671809,4.434576503659379,4.3633044203975855,0.4879538553375816,0.1358479592354038,False
0.5,0.26892088183122165,1.5104378874532536,0.5095104742035441,0.8208536031126384,4.264126998010941,4.200669188852388,0.6320323858521466,0.23886025306206576,False
0.6000000000000001,0.44115254529172293,1.920811199788556,0.6139657926437105,1.3252469613176918,4.6471766438406,4.565309552504867,0.7954246537141317,0.39954035933337545,False
0.7000000000000001,0.6626699190863738,2.492383003438339,0.7684789726519488,1.8531650203363996,6.226054302558503,6.032435233769932,0.9289964244518214,0.6483477225629928,False
0.8,0.8190361250983623,0.8412400546533796,1.247667720369944,7.146930149269344,-20.0,-15.231883119115297,0.9991791848382819,0.8813969844607077,False
0.9,0.8661292078163341,0.24450919881600722,2.121305945787615,9.9912385952506,-20.0,-15.231883119115297,0.9999999601979814,0.7909730135585836,False
1.0,0.893754898880391,-0.03991744454505844,-3.0741206323504944,10.325659257600545,-10.04954294338836,-9.28126145007114,0.9999999999998681,0.6648930921905141,False
1.1,0.9467060432320451,0.6912560479378147,-1.9410849635714331,10.71675340311641,20.0,15.231883119115297,0.999999907085047,0.47761744050140686,False
1.2000000000000002,0.9118370862308547,-1.206546175641035,-1.0419582002308916,8.17218933006184,-9.515037731609587,-8.85669993489837,0.9990776965253886,0.8726064998880815,False
1.3,0.6717549366731985,-3.6341823503479795,-0.06959282006951328,12.392815971177514,-17.277718020795863,-13.965087494595869,0.9999701946613855,0.7803417837535607,False
1.4000000000000001,0.4387954301213828,-1.1440055068482131,0.840366578292981,6.913912008428403,20.0,15.231883119115297,0.9905267580402346,0.6604148793235181,False
1.5,0.2843692478383096,-1.7053562867412588,1.7245211880032256,10.390199752421065,-15.87765930993209,-13.212062120412947,0.9999989265968646,0.5604887574277067,False
1.6,0.2916778388351155,1.9257055688832179,-3.119673069967993,19.53091508611221,17.22210043938963,13.936531399619144,1.0,0.44741095416965077,False
1.7000000000000002,0.30730276341874435,-1.4488895361439686,-1.659599857549855,11.005109377509811,-11.683889633240845,-10.51414759336335,0.9999990229880025,0.3645651479838155,False
1.8,0.125678091943691,-1.9870052755941456,-0.6846110443653024,8.757464406190191,4.533307825444971,4.457234595310672,0.9973132379526035,0.20061219423014376,False
1.9000000000000001,0.025238170726416376,0.11173046752780769,-0.13977832935719148,1.847647910728639,19.206086941233796,14.888251824248403,0.21319637507610445,0.06861422674894521,False
2.0,0.012860361191906736,-0.3690560380474371,0.1045237146995932,3.188393696024572,-3.1553128673030186,-3.12939232443275,0.4560258195457567,0.1176172323942874,False
2.1,0.0011839013668127505,0.1015842185121871,0.3785873042270982,2.5222757117682733,3.7149559201744626,3.6728126679425444,0.507679454749207,0.037973766015044555,False
2.2,0.10090921271843781,1.8386649919438294,0.4487766941264484,-0.9359848989924912,16.183774692578385,13.382849656820053,0.6222917174896836,0.5148115872572864,True
2.3000000000000003,0.29646379540217693,2.0716932364984655,0.38490587576762714,-0.39492410216050866,2.9492490856088662,2.928056091776491,0.6151524310955283,0.30347066234229925,False
2.4000000000000004,0.4972807894305423,1.9465673505105632,0.4192782310381351,1.06816044935109,0.42889233258791165,0.4288265995475019,0.6653705668142827,0.41042143474508613,False
2.5,0.7009800548256809,2.1195815983962,0.5682466898077805,1.9739861289016585,2.610749252908508,2.59602055462024,0.8381423954206525,0.5440062587660726,False
2.6,0.9091172271033261,2.067170136357997,0.8650285984194683,3.9740870772728307,0.6427118753717593,0.6424907246467693,0.9745845176833153,0.8817246340044133,False
2.7,1.0406057393600527,0.7880648113893094,1.5084328121178352,8.32448674363579,-20.0,-15.231883119115297,0.9999583868814121,0.8248411194917138,False
2.8000000000000003,1.123119247709469,0.9315267679843074,2.489184840333344,11.163780605668844,-11.298152775711333,-10.232192304554061,0.9999999998933984,0.7218866972409019,False
2.9000000000000004,1.2820159456668705,1.5258714924045487,-2.4673103515078534,12.841957223382817,4.392569651679336,4.323278647397679,0.9999999999897728,0.6036252220040943,False
3.0,1.3096498555169966,-0.671246526516936,-1.509502658049004,7.488822699702118,-9.303412378841463,-8.685780405333412,0.9999359453519138,0.4611586136115307,False
3.1,1.148402446311022,-2.498749309875979,-0.8247585960029404,6.901386138863159,-15.432517681562725,-12.957477580397248,0.9968662271546959,0.3779475180338886,False
3.2,0.8592721402556963,-3.2588745894982263,-0.1234148730823108,7.508480041747495,-4.172497981038646,-4.112998550912792,0.9922988524465637,0.29159113024226374,False
3.3000000000000003,0.6066915342196857,-1.8541656181733246,0.42215665475911424,3.8946304778917646,9.923211420859339,9.181845900280221,0.8499059958394959,0.1975947325582454,False
3.4000000000000004,0.4798399512109888,-0.7457147357272835,0.7362068216415207,2.7340402625753795,9.906233496460171,9.168441119687484,0.8560348109780478,0.29664824619734537,False
3.5,0.34115627172317403,-1.8541469898851974,1.249111389532736,7.0951993906316595,-11.966272708202117,-10.716970016711262,0.9992050549086113,0.6445913817796901,False
