policy,noise_type,noise_level,mean_loss,std_loss,success_rate,mean_final_abs_theta
linear_near,action,0.0,0.005533962598219544,0.0,1.0,5.9487594405993605e-08
linear_near,action,0.005,0.00600607223458104,7.123824781629203e-05,1.0,0.0027782678242309917
linear_near,action,0.01,0.007411680151047204,0.0002807882247993497,1.0,0.005565117877012904
linear_near,action,0.03,0.02161255404857574,0.002219171737182376,1.0,0.01697849644133577
linear_near,action,0.06,0.062616092668532,0.006580996176666364,1.0,0.035984738752268354
linear_near,action,0.1,0.14080288728462073,0.01394401565510447,1.0,0.06749519369865987
linear_near,observation,0.0,0.005533962598219544,0.0,1.0,5.9487594405993605e-08
linear_near,observation,0.005,0.026348192676934494,0.0028976418890926435,1.0,0.022665447608666543
linear_near,observation,0.01,0.075715030870676,0.008421728878428436,1.0,0.04595995603022175
linear_near,observation,0.03,0.6572219735446424,0.23308798073095088,0.26666666666666666,1.1278894138926379
linear_near,observation,0.06,0.956002143526187,0.03306696521972306,0.16666666666666666,1.4558562514687992
linear_near,observation,0.1,0.9767533603249435,0.019998319884142583,0.1,1.6945610336321761
linear_near,process,0.0,0.005533962598219544,0.0,1.0,5.9487594405993605e-08
linear_near,process,0.005,0.021691505998650017,0.0035562830818647536,1.0,0.028765328013540644
linear_near,process,0.01,0.06625268383909068,0.01214388632885147,1.0,0.05810320523573453
linear_near,process,0.03,0.468214504999786,0.1809843416577902,0.5,0.4612952400397311
linear_near,process,0.06,0.9513194819660813,0.03922214373707046,0.06666666666666667,1.6353088274036895
linear_near,process,0.1,0.9809356620476957,0.018904675485891816,0.03333333333333333,1.7070093703323985
nonlinear_near,action,0.0,0.005540379788876377,0.0,1.0,8.323381428532173e-07
nonlinear_near,action,0.005,0.005996071357894478,6.182144654496846e-05,1.0,0.0032188539065389913
nonlinear_near,action,0.01,0.0073577922535093725,0.0002458587774776042,1.0,0.006461091780703651
nonlinear_near,action,0.03,0.021433717408477916,0.002057245437672246,1.0,0.020076858840471005
nonlinear_near,action,0.06,0.0651199297123201,0.007573225618313069,1.0,0.0441554773394287
nonlinear_near,action,0.1,0.21068780879285584,0.1253536335996469,0.8,0.3242252372901754
nonlinear_near,observation,0.0,0.005540379788876377,0.0,1.0,8.323381428532173e-07
nonlinear_near,observation,0.005,0.027489490359407676,0.0029171313595915877,1.0,0.02676874629224565
nonlinear_near,observation,0.01,0.08605164763933516,0.010586435095131524,1.0,0.054813217955136787
nonlinear_near,observation,0.03,0.8504042616211671,0.11611132241320392,0.06666666666666667,2.2899287040771132
nonlinear_near,observation,0.06,0.9646109531027245,0.02325916421433603,0.2,1.7621140995960163
nonlinear_near,observation,0.1,0.9823220545436547,0.015524761709830394,0.03333333333333333,1.7422234574364401
nonlinear_near,process,0.0,0.005540379788876377,0.0,1.0,8.323381428532173e-07
nonlinear_near,process,0.005,0.024154582929288092,0.005318698046545847,1.0,0.030209180291021376
nonlinear_near,process,0.01,0.21877114665440736,0.23620077324542163,0.6333333333333333,0.6160551994964324
nonlinear_near,process,0.03,0.8925132228198993,0.07145716614133645,0.06666666666666667,1.9285528145277944
nonlinear_near,process,0.06,0.960053669254639,0.028982440925328146,0.1,1.6491659517271122
nonlinear_near,process,0.1,0.981779166105467,0.01825245085983263,0.0,1.5035166991137425
