restart,kind,loss,success,n_iter,p,message
4,nonlinear,0.0055430055544234795,True,26,"[ 4.52464415  6.01012843 15.79447989  5.17529713 16.12651759 -1.64976794
  0.40222546 -9.99934287  2.38246027  1.77843119]",CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
0,nonlinear,0.7251556003614842,True,12,"[-0.00281344  0.00338353  0.00673083  0.02241748  0.00125345  0.01220746
 -0.00255632  0.00067584  0.00297595 -0.00574009]",CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,nonlinear,0.8515692245365077,True,7,"[ 1.39691015e+00  3.30221749e-01  1.20229750e+01  2.96740524e+00
  2.28135629e-02 -3.44775420e-03 -4.34367852e-03  5.49111922e-01
 -5.89752720e-02 -4.32501371e-03]",CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,nonlinear,0.9546156098413723,False,5,"[ 0.62001563 -4.50618859 29.79939051 13.8789571  35.         -1.83993059
  4.38607319 -2.42427242 -5.16803112  4.06401637]",ABNORMAL_TERMINATION_IN_LNSRCH
5,nonlinear,0.9834843438228981,True,4,"[ 3.73524446 -0.38954757  1.03008467  2.09275508  3.67697516  3.85843157
 -7.07324162 -0.07433069 -3.02586078 -9.74352137]",CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,nonlinear,0.9847436669513299,True,5,"[ 3.02599038  2.80677686 -0.9229667   4.21135797 -7.70690836  2.51887048
 -0.01240779 -1.76598971 -2.04515538  0.28068605]",CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,nonlinear,0.9877203607967217,True,5,"[-2.2750046  -4.57505867  1.8550352  -1.1939128  -3.90320625  0.31034445
 -4.95659389  0.16995745 -3.41504857  5.07035134]",CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,nonlinear,0.9892543409073798,True,8,"[-0.23452979 -3.62713248  3.17079982 -1.46522581 -5.76769647  1.09633294
  2.90746099 -4.77503857  4.72760445 -4.00857768]",CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
