time,x,x_dot,theta_wrapped,theta_dot,action,effective_force,point_loss
0.1,-0.15298021504504053,-2.8763470543099054,2.781836350517791,-8.380936548291528,-35.84033303253586,-18.91945982844519,0.9939417354892587
0.2,-0.34594880871625544,-1.1393998634721234,2.2633027018568095,-2.4631753337311815,10.27602451178735,9.458032681421678,0.9328661240751392
0.30000000000000004,-0.3571905247835542,0.8936574226972187,2.3249636256592954,3.6365703831147536,20.079444904030616,15.26514713383996,0.9464590589554347
0.4,-0.10870052767874666,4.162419624917246,-3.1235389359660886,13.449518384744234,37.21747334863002,19.055190120822772,0.9996414737905339
0.5,0.24732985200224938,2.8663263013354676,-1.9919441789310839,8.893228908066558,-0.7072357133719164,-0.7069410717254769,0.9648024024902662
0.6000000000000001,0.4942210898705096,2.2189922419067045,-1.273523599754832,5.775641357813016,0.29430234001117,0.29428109963101756,0.7674480669108341
0.7000000000000001,0.7111068873158827,2.1891039739162124,-0.8247356991875558,3.266235537889066,0.4143654194065802,0.4143061412477351,0.5040250596914686
0.8,0.9326363148261937,2.2568602967651357,-0.6049114327044278,1.212076074033612,-0.8293466612030311,-0.8288716230997009,0.37578418865222063
0.9,1.1450257499949463,1.9942091366959351,-0.531663666510167,0.31192172605282265,-3.5700783457745,-3.5326369079671007,0.35004174088519213
1.0,1.3195262699756474,1.5040435709113884,-0.5106737059843107,0.12719916200598155,-5.212036754090237,-5.097167311124742,0.34226576465699143
1.1,1.4412879114580595,0.9411270944848183,-0.49551624228896296,0.18666706724472149,-5.711784257507794,-5.5614018500998865,0.3367443304349913
1.2000000000000002,1.506618404658398,0.3745644007319241,-0.47100748969309203,0.3204232237970034,-5.659788858219869,-5.513392291015925,0.3299960823339404
1.3,1.5170101163303777,-0.15962973992331553,-0.4327675530555606,0.4720054877275906,-5.282777329902415,-5.163253241237208,0.3196850559204931
1.4000000000000001,1.4770615474660558,-0.6347535174021401,-0.38052529942439817,0.611633609942206,-4.660057488626374,-4.577517442819065,0.3043442671498061
1.5,1.3937572101694826,-1.0294095697505503,-0.31664721934100193,0.7140518229375117,-3.856215622234167,-3.809129467847851,0.28333679779745313
1.6,1.275790716145977,-1.3304822595936285,-0.24559010695622963,0.7611892723910062,-2.9585462751515608,-2.9371533876053233,0.25693968735286
1.7000000000000002,1.1325852241461636,-1.5362508165582565,-0.1727927704614931,0.7508881740515853,-2.0646575931809568,-2.0573543530572076,0.22651996994587376
1.8,0.9732354653486038,-1.6548823865621,-0.10314240488066106,0.6966811974546316,-1.2478575049343539,-1.2462407729974043,0.1942978365511535
1.9000000000000001,0.8057961431579292,-1.6990164202525613,-0.03996968869796147,0.6170901421024196,-0.538565447740073,-0.5384353085000244,0.16260477970292442
2.0,0.6370615984575997,-1.6813175410027072,0.014986637590643781,0.5264904922090105,0.06262143583086285,0.06262123119294205,0.13327325330537287
2.1,0.4726353543294842,-1.6130546320137433,0.06108960948308839,0.43339565464782676,0.5638334940972602,0.5636841688218782,0.10748196326539305
2.2,0.3170609810294277,-1.504250931157349,0.09832403867986361,0.342283762450823,0.9722920808848801,0.9715268391687486,0.08582983879644135
2.3000000000000003,0.17392633317130443,-1.3640597269436288,0.12699665833884533,0.25544014771204515,1.2932066579159573,1.29140738574145,0.06844235707339952
2.4000000000000004,0.045937294927219825,-1.2010065531694287,0.1475813533791399,0.1741060268609264,1.5307580487786039,1.527775950307798,0.05507568352669845
2.5,-0.0650251368214865,-1.0230898739635028,0.16065036229295515,0.09911600351635616,1.689083350792643,1.6850789756191589,0.045224481238241965
2.6,-0.15785209539919168,-0.8377745126494246,0.16685127522704235,0.0312184657109267,1.77302980532844,1.7683995622404647,0.03823119748128334
2.7,-0.23214931617779083,-0.6519077130842403,0.16690464825498097,-0.028810221573123903,1.7886814468496754,1.7839277601225756,0.033387426493370564
