restart,success,loss,p_x,p_x_dot,p_theta,p_theta_dot,message
13,True,0.11969467283509291,6.232870712180507,9.499953712219812,31.989488868937357,7.766004421075235,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,True,0.12491970681466912,-0.21894691552295045,0.33395081427906154,11.580292089803196,2.7071419945911637,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,False,0.16885073694561825,0.14208520409223474,1.2507764643831416,30.375563869072113,3.1834748414066554,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
7,True,0.977523368415355,13.285017457636748,8.818890814006684,46.73415960428697,-16.417215632766734,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,True,0.9920804458716214,-12.763988641012958,-1.2830093245976302,-1.3797624453959902,-8.359048257722907,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,True,0.9923428392027854,5.858464122256559,-5.5364642890286575,-16.32731816267736,1.0460728421817767,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,True,0.9923642673259064,-0.11327469079870944,-0.2502359848061718,28.122694515048888,3.560030045799074,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,True,0.99264861069681,6.79918021300149,-11.975831598750803,11.813547651442569,-10.531309578364905,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
0,True,0.9928071274617638,1.453109072194305e-06,2.423732759005246e-07,-0.0002763361624915683,-2.0391613829578147e-08,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,True,0.9947491753972775,-1.9816310710578695,-13.90765283547913,3.4867441331952045,-26.08905300118234,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
4,True,0.9949707798177514,-2.0669169089552275,-2.126290262169247,27.990102141863865,4.978888894337614,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,True,0.9964059540197306,-0.03858911685119838,-0.010251997077127973,-11.999596197125676,-2.001226120078888,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,True,0.9969272459562856,-0.5260521027127796,11.806298045271092,-1.0820540197737463,-17.031436881035955,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,True,0.997470324982085,-17.77479038348088,-0.1882410910469655,-7.575764632666925,-24.45087057747964,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,True,0.9977885929601847,1.400701817951949,1.9694728739675447,8.433622169211358,10.327998873779265,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,True,0.9978167367594768,0.1929302601283839,0.6294038302498495,7.589182290165168,-21.93841214661683,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
