case,initial_state,horizon_steps,horizon_seconds,sigmas,loss,p_x,p_x_dot,p_theta,p_theta_dot
near_upright,"[0.0, 0.0, 0.2, 0.0]",80,8.0,"[1.0, 2.0, 0.45, 3.0]",0.006228496284023656,4.181541319555498,4.699911033664632,30.925734753903086,4.957820961989616
downward,"[0.0, 0.0, -3.041592653589793, 0.0]",130,13.0,"[2.0, 4.0, 1.0, 6.0]",0.08015208699078125,-0.4647513111951938,0.3946386393483227,11.783409915274438,2.5581238406664726
