time,x,x_dot,theta_wrapped,theta_dot,action,effective_force,point_loss
0.1,0.042744377709282445,0.8505355765477436,0.10146055752846372,-2.0198406969556424,6.185146950780623,5.995226553262705,0.29065332642371866
0.2,0.10459579739388469,0.40611970367154476,-0.023516009048531128,-0.6012498877964939,-2.700087334826905,-2.68380196085864,0.04642351626985641
0.30000000000000004,0.1352651817632697,0.2147562520002582,-0.05961790775624509,-0.1586782340714098,-1.3620410304877324,-1.3599392642762167,0.024776129667415048
0.4,0.15003155807456747,0.0837450784419114,-0.06482429256599698,0.046070898423653736,-1.0554736519782548,-1.054494889292334,0.022371054494963127
0.5,0.15413428081914662,-0.0007638972719459271,-0.05684455776048436,0.11819519284299651,-0.7553700340526057,-0.7550110705606922,0.020421993671265404
0.6000000000000001,0.1513190522959555,-0.055611337085103116,-0.044778473061456214,0.13220553171947197,-0.5310404960320223,-0.5309157349246053,0.01760048489335575
0.7000000000000001,0.14406080172046506,-0.09004860314236192,-0.03258634029595031,0.1213413944965621,-0.35797729128521044,-0.35793906786575225,0.014720810216917068
0.8,0.13407399825533092,-0.11032610001643808,-0.02185607442871662,0.10201483354246259,-0.22699183595333422,-0.2269820899380086,0.012192110720462335
0.9,0.12256356144932402,-0.12053672051760055,-0.013052035643504212,0.08135085111221592,-0.1280307715591189,-0.12802902270041322,0.010064358563409925
1.0,0.11038830840034763,-0.12358067558628559,-0.006156310806696652,0.062331629474166594,-0.05432810363985284,-0.05432797001380926,0.008276796250076712
1.1,0.09815740132121034,-0.12158535663029096,-0.0009593475788953754,0.04599834053117987,-0.0005842838323190643,-0.0005842838321528415,0.006762165088239791
1.2000000000000002,0.08629445028496745,-0.11615087921690936,0.002806278627558889,0.03253108211078189,0.03739187842658136,0.03739183486034977,0.005472950741347349
1.3,0.07508284743193114,-0.10848932490288592,0.005407132154855887,0.021740104570481984,0.063014519999992,0.06301431148421206,0.004378791364178514
1.4000000000000001,0.0646997899855272,-0.09951608037047882,0.007084687707687554,0.013296993510159451,0.07907493473635621,0.07907452270282068,0.003458723102132244
1.5,0.055242609260908626,-0.08991451768535651,0.008047207660028644,0.006840866369222329,0.08785140704906665,0.08785084203199874,0.0026953066676586035
1.6,0.04674945883701469,-0.08018517924020514,0.008468965304030629,0.0020261018000802848,0.09119061975563109,0.091189987830475,0.002071637821564165
1.7000000000000002,0.03921562742016609,-0.07068463069644369,0.008492681479401298,-0.0014579966715765657,0.09057560975444184,0.09057499052871701,0.0015704439985843033
1.8,0.03260635700053699,-0.06165677865081976,0.00823319448301918,-0.003880940167102169,0.08718421902948906,0.08718366678791567,0.001174300366305392
1.9000000000000001,0.026866831463872632,-0.05325829240328581,0.00778141983907954,-0.005471151035166422,0.08194003704318012,0.08193957858016537,0.0008662639729267729
2.0,0.021929866662909626,-0.045579234991189495,0.007208158797735731,-0.006418945805122137,0.07555666845515069,0.07555630900830634,0.0006305232983290221
2.1,0.017721737935100505,-0.03865972931969581,0.006567562646183411,-0.006880678421790835,0.068575917118493,0.06857564837894337,0.0004528803939142234
2.2,0.014166507355148513,-0.032503323202583916,0.00590018369133416,-0.0069831787086701924,0.06140041970507629,0.06140022680556115,0.00032101680487595097
2.3000000000000003,0.01118915252748691,-0.027087607526934433,0.005235605550453659,-0.006828057810204344,0.05432127456308895,0.054321140987429566,0.00022456366872436462
2.4000000000000004,0.00871774771932931,-0.022372558072827356,0.004594675487331834,-0.006495678488026961,0.047541218521363685,0.04754112897897019,0.00015502409836798403
2.5,0.006684904676525819,-0.018307002343016278,0.003991375128998609,-0.006048707321618497,0.0411938941952518,0.041193835942484075,0.0001056002830532865
2.6,0.005028643384545141,-0.014833553308907541,0.003434370776359774,-0.005535229074887628,0.03535972340759245,0.035359686565457536,7.097076632467392e-05
2.7,0.0036928314929752003,-0.01189230010639016,0.002928284793048519,-0.004991436652783304,0.030078864168164163,0.030078841490273428,4.7052354648635664e-05
