restart,success,loss,p_x,p_x_dot,p_theta,p_theta_dot,message
1,False,0.08015208699078125,-0.4647513111951938,0.3946386393483227,11.783409915274438,2.5581238406664726,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
0,True,0.7802825309536611,-0.0950913445542793,-0.03510872536619464,0.6626556352083847,-0.0009134806093199842,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,False,0.9500235074597443,-27.269505204757937,-60.0,1.309298263835612,22.817186723743443,ABNORMAL_TERMINATION_IN_LNSRCH
12,True,0.9841388009878873,-36.470253319160584,-59.9854025380656,23.585568867160845,-55.29994875989979,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
13,True,0.9862266890067282,5.100885655470956,8.692363503502264,21.960682076339605,4.169049234904817,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,True,0.9914180982502762,-0.09051794020151657,-0.2549930451433146,28.123166015147266,3.623889097197849,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,True,0.9924540223354517,-16.990936403695848,-2.084213283369602,-0.31992473923730375,-38.057671308611575,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,True,0.9927759992021222,9.248685217389705,4.267921971062364,1.4780181900472171,-6.083117077311206,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,True,0.993410488924128,-12.754754543798422,-0.9830936158710206,-1.260512308419445,-8.224505869518177,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,True,0.9944473481157583,-1.9760869562709507,-1.9425567990886263,28.009371630981406,4.976580230847999,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,True,0.9955343086301968,1.9655747176694005,-7.040067651951154,-3.4843374423372455,-14.322144016504357,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,True,0.9956738620825045,6.799180213001518,-11.975831598750828,11.81354765144253,-10.531309578364931,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,True,0.9958497673333835,-18.20456324719299,-0.1537818881167636,-7.178607972368377,-24.036208776914883,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,True,0.997026450315565,6.096218609794715,-5.718555856636351,-16.239612761889468,2.943487285764886,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,True,0.9970883871540644,-0.03938379394059077,-0.010174428536778113,-11.999557992350445,-2.0010379767982256,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,True,0.9984229011634468,1.9985506918606857,1.9947006712372606,28.000486092643005,4.999967928754165,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
