restart,success,loss,p_x,p_x_dot,p_theta,p_theta_dot,message
3,False,0.11218652264059437,1.67510006580599,3.7679482823022594,37.58772083504823,3.9361269689309135,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
0,False,0.5723858074403816,-0.002458934325802206,0.028291566156709334,0.047766233487181495,0.26642688721357977,ABNORMAL_TERMINATION_IN_LNSRCH
11,True,0.8390979153331455,-14.178453388370302,-2.646020487758773,-11.6318755241979,-0.6075532730196992,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,True,0.9465354857644263,-0.1474170480666337,-0.534905014132529,28.267854361206446,3.0559988328899923,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,True,0.9765745016084773,-4.362511959543436,-60.0,-2.773631903797857,-37.542741390709715,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
15,True,0.9767556307452213,7.823390371961226,0.17335704877200644,19.831007582082602,-4.534675202662907,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,True,0.9847384662973101,0.0027036796687133725,-0.04587926341454226,12.010962730960669,1.864357536079641,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,True,0.9861607924348973,-10.754999103247476,0.9056355307393449,-23.561658526469003,11.603091431803184,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,True,0.9903134186296749,-2.00000818961261,-2.0000081897572124,27.999987574409598,5.0000077658464654,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,True,0.9955907510656807,-7.232617998381873,-3.838279770318053,3.867545619335969,2.7736745149659696,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,True,0.9988185924912879,-0.03197723932922566,-0.006494845319685958,-11.999736403217305,-1.9999770515822313,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,True,1.0000025310771115,-10.633941364187256,6.618068745009769,-8.983376663465359,7.237930074506095,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,True,1.000063447835553,-14.198863084337663,11.277609248661676,-9.300813287936732,-10.090246722963293,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
14,True,1.0001176000998064,-0.5563022220303466,9.644851876788971,-5.326114332281371,-20.830448908189684,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
8,True,1.0001341613442976,7.066566350780344,-2.568386823567688,-0.44755934689513227,-3.04479403785263,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,True,1.0005044302687238,0.16106872139719908,11.25933190810556,4.772466317562333,11.084507794858379,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
