restart,success,loss,p_x,p_x_dot,p_theta,p_theta_dot,message
3,True,0.006228496284023656,4.181541319555498,4.699911033664632,30.925734753903086,4.957820961989616,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
1,True,0.006228504472557577,4.18298185445304,4.711678168709327,30.930062144155478,4.961725622842536,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
2,True,0.006228673194311721,4.168878257858874,4.751404473062021,30.94334131643277,4.978581876941352,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
4,True,0.08244483652391366,1.0753804831947336,-5.482639938248985,28.83563442968244,-0.8627090772188314,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
0,True,0.6434123332402989,-0.00028115442061176757,0.00391415964425977,0.003433393207919587,0.03130504445937477,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,True,0.7720274499595461,11.636410157271971,-10.402779678567343,16.674965562825527,-4.800756381755744,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,True,0.932572379950147,-0.9168297422618993,0.5605046026793291,9.901710950665194,-15.09872775952102,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,True,0.9598104102640088,11.105786653635603,-12.66797631410383,-9.30570980071313,-0.8616491316053843,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,True,0.9621219274255367,15.56691420028001,6.2958364738595956,47.667047601278014,20.602233150081272,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,True,0.9695470501366098,-1.9081229173273115,-18.004826372325162,3.9304457293205397,3.9325179362567924,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,True,0.9791901941784786,-2.601031023839042,-12.306742752593118,34.783838306093934,4.556192244228243,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,True,0.9845247621340054,-13.886069736404732,-20.255634541280724,-1.6537173074158462,-3.432597135272542,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,True,0.9850382780527615,0.008972331718769386,-4.207541132721665,20.719104561302046,-4.861398362174704,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,True,0.9930162304808182,-0.11743056944785518,-0.05179598114760998,-11.99080689976881,-1.9951376725420562,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
