case,initial_state,horizon_steps,horizon_seconds,sigmas,loss,p_x,p_x_dot,p_theta,p_theta_dot
near_upright,"[0.0, 0.0, 0.2, 0.0]",80,8.0,"[1.0, 2.0, 0.45, 3.0]",0.006228496284023656,4.181541319555498,4.699911033664632,30.925734753903086,4.957820961989616
downward_pi,"[0.0, 0.0, 3.141592653589793, 0.0]",130,13.0,"[2.0, 4.0, 1.0, 6.0]",0.11969467283509291,6.232870712180507,9.499953712219812,31.989488868937357,7.766004421075235
downward_minus_pi_plus_0p1,"[0.0, 0.0, -2.041592653589793, 0.0]",130,13.0,"[2.0, 4.0, 1.0, 6.0]",0.11218652264059437,1.67510006580599,3.7679482823022594,37.58772083504823,3.9361269689309135
