feature_kind,N_train,M,val_std_mse_mean,val_std_mse_std,test_std_mse_mean,elapsed_seconds_mean,num_repeats
sincos_features,300,20,0.393240532706593,0.050857509331381334,0.42605128343061266,0.0012984249740839004,5
sincos_features,300,40,0.2667271561740258,0.014592713831677902,0.29608240413465825,0.002452058717608452,5
sincos_features,300,80,0.13388786828361784,0.015103083565258963,0.1510916804792301,0.0066958747804164885,5
sincos_features,300,160,0.06409269583912104,0.0036152710710354438,0.07161902468138003,0.011755141988396644,5
sincos_features,600,20,0.3778161238536453,0.008542617573164747,0.4129838168782629,0.0017005667090415955,5
sincos_features,600,40,0.2301537814616644,0.021669641480970468,0.24818777748496132,0.003100941330194473,5
sincos_features,600,80,0.11112984042766001,0.014414166482467282,0.12183599583774392,0.007422783598303795,5
sincos_features,600,160,0.04772558314294077,0.003808993283332535,0.05448083829039476,0.016775966435670853,5
sincos_features,600,320,0.018899232657500924,0.0012387686329951547,0.020663989852873335,0.03339663315564394,5
sincos_features,1000,20,0.3649007431614225,0.036175913979333375,0.4068545931526996,0.004436350055038929,5
sincos_features,1000,40,0.2245040927262067,0.015093104916790081,0.24757435055177973,0.004555791616439819,5
sincos_features,1000,80,0.1088472758626505,0.006936617154788432,0.11979486985186054,0.012981283105909824,5
sincos_features,1000,160,0.04407105693819111,0.0019197875859361232,0.045610856825783974,0.03317514955997467,5
sincos_features,1000,320,0.014743410443973703,0.0012326694948099337,0.015275762852928495,0.04243221692740917,5
sincos_features,1500,20,0.3346778071490318,0.021741631741005882,0.3740270350345559,0.004996858537197113,5
sincos_features,1500,40,0.21897566820543624,0.028999688273024987,0.24297612353521975,0.0065638918429613115,5
sincos_features,1500,80,0.10364412892721526,0.009481801721975769,0.1145101448677821,0.01315289195626974,5
sincos_features,1500,160,0.03884605354892135,0.0012156472897650091,0.043521333925073645,0.02559557482600212,5
sincos_features,1500,320,0.012118790122684566,0.0006562234966823614,0.012831938065574233,0.058309308253228664,5
