feature_kind,N_train,M,val_std_mse_mean,val_std_mse_std,test_std_mse_mean,elapsed_seconds_mean,num_repeats
raw_periodic_kernel,300,20,0.4519397025482907,0.018401586963777996,0.4903504370264612,0.0013417497277259827,5
raw_periodic_kernel,300,40,0.31331516944567095,0.014414922235314738,0.3453694603857441,0.005282333679497242,5
raw_periodic_kernel,300,80,0.1774160543744595,0.007723354680643194,0.19595616533298726,0.008375333063304425,5
raw_periodic_kernel,300,160,0.10832570055455248,0.007449722858723793,0.11055147668093417,0.016340708173811436,5
raw_periodic_kernel,600,20,0.4169658265770145,0.02891949673836403,0.44456975476744287,0.0022423584014177322,5
raw_periodic_kernel,600,40,0.26459734826088843,0.016321578353797134,0.29182047007864786,0.0074038499966263775,5
raw_periodic_kernel,600,80,0.15998049805389308,0.010835890218642528,0.17179401042748615,0.012320558167994022,5
raw_periodic_kernel,600,160,0.08272995087215601,0.0072845554190120254,0.08771066755288219,0.023229075223207475,5
raw_periodic_kernel,600,320,0.043808922346588855,0.0017065715387983317,0.05167158917328478,0.05919615849852562,5
raw_periodic_kernel,1000,20,0.38771952502475643,0.019273339741840766,0.4207106779355779,0.002942333184182644,5
raw_periodic_kernel,1000,40,0.2491828791159501,0.01599219137722493,0.28039501009673246,0.007101541943848133,5
raw_periodic_kernel,1000,80,0.13160535133913143,0.007951290813846452,0.1419868095813896,0.012382250279188156,5
raw_periodic_kernel,1000,160,0.07655110038482561,0.006904876080470162,0.07231964149840146,0.02913736701011658,5
raw_periodic_kernel,1000,320,0.035033937665427714,0.0015636734100016737,0.03448758731732286,0.061445333622395994,5
raw_periodic_kernel,1500,20,0.39307205433592723,0.01964329877611144,0.428406882783073,0.005440199933946133,5
raw_periodic_kernel,1500,40,0.2393780207968712,0.012252968656636554,0.27441896683334904,0.007135383412241935,5
raw_periodic_kernel,1500,80,0.13440209667503483,0.01569283723390722,0.14108818578291046,0.01630842499434948,5
raw_periodic_kernel,1500,160,0.06506673935990508,0.005574839711263784,0.06661499859515847,0.03611214160919189,5
raw_periodic_kernel,1500,320,0.0256351250962746,0.00254830261238448,0.02748151012680316,0.058761675283312796,5
