model,train MSE,val MSE,test MSE,train std-MSE,val std-MSE,test std-MSE
raw_linear,0.9696192404496823,0.9568380814829096,1.341974461939384,0.29227695927931197,0.30805804376441703,0.38606635847012005
sincos_linear,0.6209385534023023,0.7158823267703213,0.7364454189937386,0.20695861108423216,0.2391744406626427,0.2421352468652085
sincos_kernel,0.11686436310343704,0.29985637535472165,0.36085247448587765,0.0514599133379269,0.11374307897261353,0.13823536783289284
