model,validation standardised MSE,test standardised MSE,test raw MSE
sin/cos kernel,0.012750897567405555,0.012576369167602202,0.03621519032063798
sin/cos linear,0.18354092265405114,0.20999541881315795,0.6758143239975705
raw linear,0.26860179921111693,0.28805662181694314,1.0013247802282061
