model,validation standardised MSE,test standardised MSE,test raw MSE
sin/cos kernel,0.11374307897261353,0.13823536783289284,0.36085247448587765
sin/cos linear,0.22049633953752795,0.226815783583477,0.7544368011955861
raw linear,0.2800004711815379,0.3601558232094226,1.3422613512430905
