feature_kind,N_train,M,val_std_mse_mean,val_std_mse_std,test_std_mse_mean,elapsed_seconds_mean,num_repeats
raw_periodic_kernel,100,10,0.5814194319913544,0.017969542754317336,0.6618113853384945,0.0005191662348806858,2
raw_periodic_kernel,100,20,0.4249694895150085,0.02337784466503373,0.6138628787159165,0.0005653328262269497,2
raw_periodic_kernel,100,40,0.3041930470651044,0.0036050578654804877,0.5187608203508163,0.0071547492407262325,2
raw_periodic_kernel,100,80,0.22039230615619368,0.010407559778153497,0.3229833522869376,0.0020227297209203243,2
raw_periodic_kernel,200,10,0.6014207879136322,0.006626403174871842,0.593939308445125,0.00030504167079925537,2
raw_periodic_kernel,200,20,0.3825765183011066,0.006077923111203198,0.42317755112798616,0.0005768751725554466,2
raw_periodic_kernel,200,40,0.2611495506118545,0.004712576630223536,0.36458372369586745,0.0017961040139198303,2
raw_periodic_kernel,200,80,0.1874943878179684,0.0018788262632576797,0.22554527938299457,0.0029238536953926086,2
raw_periodic_kernel,300,10,0.5583692649444536,0.007629848705270836,0.5783808185303505,0.0005959165282547474,2
raw_periodic_kernel,300,20,0.4756893809946593,0.009328945942318728,0.5383894627238399,0.0007053958252072334,2
raw_periodic_kernel,300,40,0.2930887195766376,0.029906977097960863,0.3065939466652995,0.001605333760380745,2
raw_periodic_kernel,300,80,0.1980552375383423,0.010906367698081842,0.22152388552048086,0.004036521073430777,2
