feature_kind,N_train,M,val_std_mse_mean,val_std_mse_std,test_std_mse_mean,elapsed_seconds_mean,num_repeats
sincos_features,100,10,0.6192023117933583,0.018477523472687107,0.6725952308192249,0.0018444382585585117,2
sincos_features,100,20,0.38089609765690524,0.07541408453857612,0.4922291883929415,0.004398457705974579,2
sincos_features,100,40,0.2742161349925072,0.04199126995135935,0.3630365751931057,0.0015036254189908504,2
sincos_features,100,80,0.14759178946262724,0.012296615540041786,0.22031502216907722,0.004604625049978495,2
sincos_features,200,10,0.62813357193652,0.021856812368723055,0.6556823459362464,0.002217249944806099,2
sincos_features,200,20,0.4087934617256925,0.010492443767183945,0.4225902201800257,0.001629104372113943,2
sincos_features,200,40,0.2302731321996243,0.004567794888539103,0.30811493606163837,0.001311812549829483,2
sincos_features,200,80,0.13038371351633918,0.017032521640516822,0.1414830554428304,0.002449417021125555,2
sincos_features,300,10,0.5331666949682443,0.05120785491888469,0.6156387266651173,0.0004049167037010193,2
sincos_features,300,20,0.48581410729874525,0.0008636160125233272,0.47211345033450103,0.0007166042923927307,2
sincos_features,300,40,0.26990789777137836,0.03606771962396309,0.27334882890892853,0.0011507915332913399,2
sincos_features,300,80,0.16065098352884685,0.0031758321818673163,0.14603120189960822,0.006261145696043968,2
