restart,loss,success,p_x,p_x_dot,p_theta,p_theta_dot,message
2,0.27745107368533056,True,-10.86620175824672,-8.558015793342115,22.53217139826626,2.106382257156655,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
4,0.2781024241588721,False,-12.426821629697047,-15.804069278134905,32.0739662563101,0.5832902897640623,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
3,0.2792492369609259,True,-3.0224746134305915,-7.370161354942337,32.17300240064091,2.73371049848489,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,0.2792551338000563,True,-0.8458033822981587,-4.149524887896724,39.31073904254751,4.257813158489927,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,0.40710926530048336,False,-50.85707524295876,-25.110586824895027,-60.0,0.8960725965003998,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
1,0.45327750592336113,False,-6.802214225123113,-11.943414149992666,16.525040742432683,0.34167528211125775,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
6,0.6290537343046204,True,-59.97165403484324,-59.971656012212726,-59.99851478978449,12.201568354973567,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,0.6564324367564908,False,0.47717080967043796,-8.81374041523737,12.23304813949496,1.634048179758876,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
7,0.8241938827678038,False,-55.41849888777639,-59.895210167280986,-59.93825145675198,-13.978051202270652,ABNORMAL_TERMINATION_IN_LNSRCH
5,0.9173317978626283,False,-0.9017704709195434,-3.6894073257282654,-12.960645754302002,-0.613890692507689,ABNORMAL_TERMINATION_IN_LNSRCH
0,0.9883854127798007,True,2.621528670944231,5.739462316199363,-28.18192233757521,2.1625179141430406,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
11,0.9885660129439413,True,4.298206540611446,10.275227809325004,-14.065628910091597,10.36456363779445,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
