split,raw_mse_mean,std_mse_mean,std_mse_delta_x,std_mse_delta_x_dot,std_mse_delta_theta,std_mse_delta_theta_dot
train,0.07710468660672684,0.009364380614140905,0.00010051498612639732,0.01790585189420378,0.0006741131256922595,0.01877704245054118
validation,0.08959987928184757,0.0109577532014314,0.00011980747208356067,0.021233542385424797,0.0007166535113814964,0.021761009436835746
test,0.09338941451511629,0.011720659438042791,0.00013737371843780134,0.023455449674749582,0.0008059238453701284,0.022483890513613648
