step,time,state_error_norm
1,0.1,0.04236341807471271
2,0.2,0.05694289818104916
3,0.30000000000000004,0.08173293700425713
4,0.4,0.10410669178005394
5,0.5,0.12476157695719212
6,0.6000000000000001,0.1447162823868912
7,0.7000000000000001,0.16489440254856794
8,0.8,0.18572841581937644
9,0.9,0.20736845454562147
10,1.0,0.22977727773708426
11,1.1,0.2528210014002954
12,1.2000000000000002,0.2763226678998687
13,1.3,0.30009394557070473
14,1.4000000000000001,0.3239514033986799
15,1.5,0.34772383148762737
16,1.6,0.3712545442578224
17,1.7000000000000002,0.39440110904700443
18,1.8,0.41703388148209347
19,1.9000000000000001,0.43903410157217176
20,2.0,0.4602919393507363
21,2.1,0.48070467669419503
22,2.2,0.5001751029991353
23,2.3000000000000003,0.5186101466824131
24,2.4000000000000004,0.5359197378924228
25,2.5,0.5520158869583137
26,2.6,0.5668119608607662
27,2.7,0.5802221420349127
28,2.8000000000000003,0.5921610582301213
29,2.9000000000000004,0.6025435775085421
30,3.0,0.6112847688385162
31,3.1,0.618300035497808
32,3.2,0.6235054361266764
33,3.3000000000000003,0.6268182168214087
34,3.4000000000000004,0.6281575878009491
35,3.5,0.6274457903063464
36,3.6,0.6246095146504862
37,3.7,0.6195817499032236
38,3.8000000000000003,0.6123041714067088
39,3.9000000000000004,0.6027302071326148
40,4.0,0.5908289716182704
41,4.1000000000000005,0.5765903232870812
42,4.2,0.5600313958100825
43,4.3,0.5412050901525666
44,4.4,0.5202112069189265
45,4.5,0.4972111676837299
46,4.6000000000000005,0.4724476266491257
47,4.7,0.44627067024386297
48,4.800000000000001,0.41917254902488815
49,4.9,0.3918323716605417
50,5.0,0.3651693253580625
51,5.1000000000000005,0.340394337917542
52,5.2,0.3190304315191754
53,5.300000000000001,0.30284038772708965
54,5.4,0.2935810936303195
55,5.5,0.29256687379136515
56,5.6000000000000005,0.3002101008197003
57,5.7,0.3158440635831996
58,5.800000000000001,0.3379576442501871
59,5.9,0.3646396973870871
60,6.0,0.3939544534016345
61,6.1000000000000005,0.42414153913939345
62,6.2,0.4536806645840449
63,6.300000000000001,0.48129092400874895
64,6.4,0.505910337462326
65,6.5,0.5266756007092607
66,6.6000000000000005,0.5429080633201894
67,6.7,0.5541067401294709
68,6.800000000000001,0.5599482575401267
69,6.9,0.560294393416928
70,7.0,0.5552090735426152
71,7.1000000000000005,0.5449878900272678
72,7.2,0.5302042270317378
73,7.300000000000001,0.5117764504846309
74,7.4,0.49105858394017937
75,7.5,0.4699475876441985
76,7.6000000000000005,0.4509739852302952
77,7.7,0.4372891341139388
78,7.800000000000001,0.43240127081218965
79,7.9,0.43954810245593556
80,8.0,0.4608638373117687
81,8.1,0.49683948078699336
82,8.200000000000001,0.5464605896016219
83,8.3,0.6078351047576311
84,8.4,0.678830770944472
85,8.5,0.7574574838890343
86,8.6,0.8420098914696811
87,8.700000000000001,0.9310774650694391
88,8.8,1.023504497737793
89,8.9,1.118340916793694
90,9.0,1.2147988853767822
91,9.1,1.3122185115270852
92,9.200000000000001,1.4100418524900056
93,9.3,1.5077934126145822
94,9.4,1.6050654295960924
95,9.5,1.7015066125788063
96,9.600000000000001,1.7968133589903323
97,9.700000000000001,1.890722764514146
98,9.8,1.983006948851228
99,9.9,2.073468365822065
100,10.0,2.161935866249838
